First Name,Nation,Team,Position,Age,Matches Played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,xG,xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,xG/90,xAG/90,GA90,Save%,CS%,PK Save%,SoT%,SoT/90,G/Sh,Dist,Cmp,Cmp%,TotDist,KP,1/3,PPA,CrsPA,PrgP,Short Cmp%,Medium Cmp%,Long Cmp%,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att,Lost,Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att (Take-Ons),Succ% (Take-Ons),Tkld% (Take-Ons),Carries,PrgDist,ProgC,1/3 (Carries),CPA,Mis,Dis,Rec,PrgR,Fls,Fld,Off,Crs,Recov,Won (Aerial),Lost (Aerial),Won% (Aerial)
Diego,py PAR,Brighton,MF,22-025,11,4,431,0,0,0,0,0.4,0.5,5,18,13,0.00,0.00,0.09,0.11,N/a,N/a,N/a,N/a,0.0,0.00,0.00,21.5,199,79.3,3039,5,12,4,1,18,85.5,83.7,47.6,12,2.51,1,0.21,17,10,18,9,10,0,10,7,334,18,77,182,79,5,12,50.0,50.0,157,253,5,3,0,6,9,200,13,7,2,1,9,29,7,3,70.0
Diogo,pt POR,Liverpool,FW,28-138,22,13,"1,074",6,3,2,0,7.3,1.8,36,33,85,0.50,0.25,0.61,0.15,N/a,N/a,N/a,N/a,28.9,1.09,0.13,12.4,193,68.7,2864,11,28,3,1,33,75.5,73.3,57.9,35,2.94,9,0.75,13,7,19,12,9,0,9,6,436,5,28,180,235,88,30,36.7,60.0,240,753,36,21,20,36,21,304,85,18,12,1,8,38,21,28,42.9
Diogo,pt POR,Manchester Utd,DF,26-034,32,31,"2,788",0,3,5,0,2.0,2.0,62,102,164,0.00,0.10,0.06,0.07,N/a,N/a,N/a,N/a,21.7,0.16,0.00,15.6,1336,80.5,21497,26,61,25,8,102,89.9,81.9,55.4,74,2.39,5,0.16,67,39,52,18,22,9,13,37,1965,113,658,767,557,66,53,50.9,41.5,1111,2684,62,37,16,37,21,1186,164,40,9,4,65,164,38,21,64.4
Djed,eng ENG,Tottenham,DF,24-255,19,14,"1,334",1,2,4,1,0.5,1.7,45,88,63,0.07,0.13,0.03,0.11,N/a,N/a,N/a,N/a,37.5,0.20,0.13,22.9,803,87.0,11315,10,63,15,6,88,94.5,87.1,55.6,24,1.62,4,0.27,38,29,24,5,22,9,13,17,1125,62,386,507,250,22,63,50.8,39.7,657,2089,45,38,6,23,22,713,63,17,23,2,19,82,16,11,59.3
Dominic,eng ENG,Tottenham,FW,27-219,23,23,"2,028",7,3,0,0,9.9,2.9,29,45,85,0.31,0.13,0.44,0.13,N/a,N/a,N/a,N/a,39.3,0.98,0.13,12.2,245,71.8,3296,14,27,9,0,45,76.3,77.1,66.7,37,1.64,8,0.36,18,11,12,8,17,7,10,0,616,31,66,283,273,106,48,33.3,60.4,365,786,29,20,14,65,45,431,85,36,35,5,4,35,41,54,43.2
Dominic,eng ENG,Everton,FW,28-036,22,19,"1,574",3,1,2,0,6.1,0.6,22,19,105,0.17,0.06,0.35,0.04,N/a,N/a,N/a,N/a,37.0,0.97,0.07,12.3,174,62.6,2035,7,19,5,1,19,70.0,58.3,37.5,25,1.43,4,0.23,9,7,6,4,6,2,4,6,491,21,38,204,254,82,25,40.0,52.0,268,444,22,8,16,71,32,402,105,27,22,27,6,32,83,79,51.2
Dominik,hu HUN,Liverpool,MF,24-178,31,25,"2,190",5,3,6,0,6.9,5.1,64,110,118,0.21,0.12,0.28,0.21,N/a,N/a,N/a,N/a,31.7,0.78,0.08,18.6,996,84.6,15375,43,74,31,5,110,89.1,88.1,72.3,99,4.07,12,0.49,30,20,37,22,34,4,30,9,1408,23,180,684,562,92,35,54.3,37.1,721,2030,64,45,17,34,20,961,118,35,21,4,33,117,18,22,45.0
Donyell,nl NED,Aston Villa,FW,26-102,10,2,268,3,0,0,0,1.6,0.1,8,5,23,1.01,0.00,0.55,0.02,N/a,N/a,N/a,N/a,63.6,2.35,0.27,15.4,44,71.0,560,2,2,1,0,5,82.9,73.3,50.0,4,1.34,0,0.00,6,3,4,3,1,0,1,0,105,2,7,27,77,17,10,30.0,50.0,62,233,8,5,4,7,6,69,23,1,4,2,6,7,2,4,33.3
Dwight,eng ENG,Everton,"MF,FW",25-150,16,13,"1,157",3,4,1,0,0.9,3.8,32,61,66,0.23,0.31,0.07,0.29,N/a,N/a,N/a,N/a,34.8,0.62,0.13,22.0,378,73.1,7197,33,33,33,10,61,85.9,81.4,53.8,61,4.75,7,0.54,11,6,19,11,7,0,7,5,625,3,64,269,307,19,38,55.3,42.1,362,957,32,29,4,22,25,419,66,6,13,1,91,64,3,14,17.6
Eberechi,eng ENG,Crystal Palace,"MF,FW",26-296,29,27,"2,275",3,8,1,0,7.9,4.7,65,85,140,0.12,0.32,0.31,0.19,N/a,N/a,N/a,N/a,25.6,0.91,0.03,21.7,691,74.4,11549,51,45,31,3,85,85.3,83.2,43.2,116,4.59,9,0.36,37,22,35,18,25,0,25,11,1264,13,168,598,528,83,123,48.0,46.3,754,2151,65,43,21,52,44,824,140,10,45,9,99,126,6,36,14.3
Eddie,eng ENG,Crystal Palace,"FW,MF",25-326,24,7,801,1,1,5,1,3.7,1.5,35,15,65,0.11,0.11,0.42,0.17,N/a,N/a,N/a,N/a,36.4,1.35,0.03,15.0,155,74.2,2226,11,10,4,0,15,79.4,82.8,61.5,24,2.69,2,0.22,12,5,11,6,9,0,9,2,338,7,36,138,170,55,18,50.0,33.3,198,761,35,19,13,27,13,240,65,24,22,2,5,21,16,31,34.0
Ederson,br BRA,Manchester City,GK,31-247,22,22,"1,960",0,4,3,0,0.0,1.5,0,1,0,0.00,0.18,0.00,0.07,1.15,68.5,31.8,0.0,N/a,0.00,N/a,N/a,693,88.1,17056,4,20,1,0,1,100.0,98.3,65.7,6,0.28,4,0.18,0,0,2,2,0,0,0,1,833,587,824,9,0,0,0,N/a,N/a,563,1671,0,0,0,1,0,529,0,1,0,0,0,37,4,1,80.0
Edmond-Paris,eng ENG,Brentford,"MF,FW",23-348,8,0,119,0,0,0,0,0.1,0.1,4,13,4,0.00,0.00,0.09,0.08,N/a,N/a,N/a,N/a,0.0,0.00,0.00,23.8,76,90.5,1259,1,2,0,0,13,95.0,93.5,85.7,4,3.03,1,0.76,2,1,3,2,2,2,0,1,101,2,18,58,27,4,4,75.0,25.0,68,221,4,3,1,2,0,75,4,2,4,0,3,7,1,3,25.0
Edson,mx MEX,West Ham,MF,27-179,25,19,"1,633",0,1,8,1,0.3,0.8,21,75,18,0.00,0.06,0.02,0.04,N/a,N/a,N/a,N/a,9.1,0.06,0.00,26.7,763,85.7,12894,11,80,11,3,75,88.8,89.7,73.5,25,1.38,2,0.11,44,23,33,18,21,8,13,16,1101,61,323,612,174,12,31,45.2,38.7,603,1528,21,20,2,25,13,734,18,37,18,4,6,78,28,20,58.3
Elliot,eng ENG,Nott'ham Forest,MF,22-166,31,27,"2,227",1,6,6,0,1.6,3.1,36,112,77,0.04,0.24,0.07,0.12,N/a,N/a,N/a,N/a,15.2,0.20,0.03,19.8,844,78.1,13378,33,84,16,2,112,89.0,80.5,46.0,74,2.99,10,0.40,76,49,90,49,41,8,33,25,1435,79,337,676,450,55,67,49.3,38.8,716,1821,36,27,15,51,34,846,77,37,50,4,69,170,37,20,64.9
Emerson,it ITA,West Ham,DF,30-261,28,24,"1,930",2,1,5,0,2.0,1.5,42,60,75,0.09,0.05,0.09,0.07,N/a,N/a,N/a,N/a,43.8,0.33,0.13,19.0,791,79.7,11534,16,45,13,5,60,89.7,80.3,43.3,41,1.91,2,0.09,55,29,41,18,30,7,23,19,1222,75,393,516,328,25,30,33.3,56.7,504,1601,42,22,8,22,7,682,75,22,13,0,61,82,15,18,45.5
Emi,ar ARG,Aston Villa,"MF,FW",28-117,12,0,98,0,0,1,0,0.7,0.0,3,7,6,0.00,0.00,0.60,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,19.1,49,81.7,624,1,4,1,0,7,91.7,85.7,20.0,3,2.76,0,0.00,6,6,5,5,5,1,4,0,82,0,17,35,31,3,2,0.0,100.0,53,119,3,5,0,4,3,64,6,4,6,0,0,8,0,2,0.0
Emil,se SWE,Newcastle Utd,DF,30-262,9,2,288,0,0,0,0,0.0,0.1,3,7,1,0.00,0.00,0.01,0.03,N/a,N/a,N/a,N/a,0.0,0.00,0.00,14.6,104,80.0,1661,1,6,0,0,7,81.7,86.8,50.0,3,0.94,0,0.00,4,2,3,1,5,4,1,2,164,30,87,59,19,4,1,0.0,100.0,72,133,3,3,0,2,2,85,1,3,1,0,1,17,5,5,50.0
Emile,eng ENG,Fulham,MF,24-267,29,23,"1,827",5,2,2,0,4.1,1.1,50,116,109,0.25,0.10,0.20,0.05,N/a,N/a,N/a,N/a,25.0,0.39,0.16,15.4,819,90.0,11768,18,73,15,1,116,92.2,95.3,69.2,63,3.10,11,0.54,30,17,24,16,20,2,18,10,1090,20,149,518,433,52,33,48.5,45.5,710,1819,50,38,11,31,13,838,109,17,12,4,13,64,6,16,27.3
Emiliano,ar ARG,Aston Villa,GK,32-231,32,32,"2,790",0,0,4,0,0.0,0.5,0,3,0,0.00,0.00,0.00,0.02,1.39,65.9,15.6,50.0,N/a,0.00,N/a,N/a,953,79.5,24838,2,21,0,0,3,97.7,98.2,50.7,6,0.19,1,0.03,2,2,1,0,1,0,1,0,1256,947,1241,15,0,0,1,100.0,0.0,759,2438,0,0,0,1,0,689,0,1,5,0,0,28,7,1,87.5
Emmanuel,ci CIV,Wolves,DF,27-308,11,11,960,0,0,2,0,0.3,0.1,2,20,0,0.00,0.00,0.03,0.01,N/a,N/a,N/a,N/a,20.0,0.09,0.00,24.6,509,83.6,10404,2,21,1,0,20,90.7,91.6,59.5,12,1.13,2,0.19,22,15,15,6,14,10,4,9,734,118,400,321,19,3,10,70.0,20.0,441,931,2,3,0,3,3,467,0,5,4,1,1,55,20,14,58.8
Enes,tr TUR,Bournemouth,"FW,MF",27-346,17,2,345,2,1,2,0,2.7,0.4,4,12,22,0.52,0.26,0.72,0.10,N/a,N/a,N/a,N/a,35.0,1.83,0.10,14.6,63,63.6,685,4,4,4,0,12,76.9,60.7,0.0,9,2.35,3,0.78,1,0,3,3,1,0,1,0,172,6,14,63,95,26,12,8.3,83.3,91,95,4,3,1,17,13,133,22,6,9,1,4,16,24,22,52.2
Enzo,ar ARG,Chelsea,MF,24-094,31,27,"2,500",5,6,7,0,5.3,6.0,56,193,107,0.18,0.22,0.19,0.22,N/a,N/a,N/a,N/a,37.5,0.65,0.10,18.4,1360,80.1,24105,69,151,39,7,193,88.9,84.9,58.7,135,4.86,15,0.54,59,29,74,47,32,5,27,11,1963,32,300,997,679,73,43,48.8,34.9,1074,2489,56,52,8,26,26,1442,107,45,44,1,100,134,13,27,32.5
Erling,no NOR,Manchester City,FW,24-274,28,28,"2,480",21,3,2,0,20.8,2.8,19,18,103,0.76,0.11,0.76,0.10,N/a,N/a,N/a,N/a,54.5,1.96,0.19,12.2,225,66.0,2706,26,9,7,1,18,70.6,66.7,66.7,62,2.25,9,0.33,9,5,6,4,11,1,10,5,578,22,39,200,344,170,32,34.4,59.4,272,478,19,14,19,39,25,427,103,22,12,4,3,29,49,45,52.1
Ethan,jm JAM,Brentford,DF,31-327,22,21,"1,913",2,0,2,0,1.1,1.2,3,41,9,0.09,0.00,0.05,0.05,N/a,N/a,N/a,N/a,60.0,0.28,0.20,11.1,924,85.6,17045,8,48,4,1,41,94.2,89.4,57.9,21,0.99,0,0.00,35,19,24,11,29,18,11,24,1348,294,783,457,109,24,9,33.3,66.7,633,1633,3,4,0,2,4,760,9,8,4,0,9,50,63,43,59.4
Ethan,eng ENG,Arsenal,"FW,MF",18-031,23,10,811,4,2,1,0,1.1,1.0,44,30,101,0.44,0.22,0.13,0.11,N/a,N/a,N/a,N/a,36.4,0.89,0.18,18.2,298,80.1,4250,12,15,13,6,30,92.8,75.5,50.0,22,2.44,3,0.33,11,7,18,11,8,2,6,1,483,3,43,154,291,39,55,58.2,30.9,324,1199,44,21,16,20,17,352,101,7,5,6,51,33,3,7,30.0
Evan,ie IRL,Brighton,FW,20-184,13,2,246,1,0,0,0,0.5,0.4,2,1,9,0.37,0.00,0.20,0.15,N/a,N/a,N/a,N/a,28.6,0.73,0.14,19.2,43,74.1,484,3,1,0,0,1,86.1,72.7,25.0,4,1.47,0,0.00,4,3,5,3,3,1,2,0,88,7,13,50,26,9,2,50.0,50.0,42,56,2,1,2,5,6,52,9,3,1,0,0,10,4,9,30.8
Evanilson,br BRA,Bournemouth,FW,25-197,26,23,"1,903",9,0,0,0,11.0,1.5,25,19,86,0.43,0.00,0.52,0.07,N/a,N/a,N/a,N/a,45.2,1.32,0.15,12.9,190,68.8,2309,22,14,2,0,19,73.5,71.4,69.2,55,2.60,7,0.33,14,9,10,4,10,2,8,0,462,22,47,172,246,112,19,31.6,36.8,267,695,25,14,14,30,21,322,86,28,40,16,0,55,38,55,40.9
Ezri,eng ENG,Aston Villa,DF,27-180,29,28,"2,486",1,0,0,0,0.9,0.4,16,72,11,0.04,0.00,0.03,0.01,N/a,N/a,N/a,N/a,37.5,0.11,0.13,8.6,1339,92.7,22428,5,93,1,0,72,96.2,95.5,65.0,23,0.83,3,0.11,31,17,22,4,17,9,8,21,1653,201,771,792,98,19,17,41.2,41.2,974,2447,16,11,2,15,9,1158,11,6,41,0,5,85,27,21,56.3
Fabian,ch SUI,Newcastle Utd,DF,33-122,29,28,"2,493",4,0,7,1,2.1,0.4,14,87,17,0.14,0.00,0.08,0.01,N/a,N/a,N/a,N/a,35.7,0.36,0.14,21.6,1391,83.3,27785,5,124,10,0,87,92.4,92.5,50.9,27,0.97,3,0.11,30,19,31,19,35,23,12,40,1952,233,1038,809,116,30,12,66.7,16.7,1231,3109,14,21,2,11,6,1356,17,31,12,4,9,121,36,59,37.9
Fabio,pt POR,Brentford,"FW,MF",22-234,19,3,455,2,1,1,0,2.5,0.7,9,17,23,0.40,0.20,0.49,0.13,N/a,N/a,N/a,N/a,41.7,0.99,0.17,14.7,126,70.8,1755,4,11,5,1,17,83.0,71.1,38.9,10,1.97,1,0.20,13,9,13,7,6,1,5,3,247,4,44,91,113,22,14,14.3,71.4,137,356,9,3,0,13,8,145,23,5,10,1,10,30,2,6,25.0
Facundo,ar ARG,Leicester City,"FW,MF",20-119,28,13,"1,429",4,2,7,0,3.7,3.1,38,51,66,0.25,0.13,0.23,0.19,N/a,N/a,N/a,N/a,30.3,0.63,0.12,17.9,420,76.6,6625,24,39,13,2,51,85.8,81.5,48.6,49,3.09,4,0.25,49,28,65,45,32,6,26,10,826,25,120,424,295,34,75,33.3,61.3,452,1289,38,26,8,52,38,503,66,33,32,3,41,75,16,33,32.7
Ferdi,tr TUR,Brighton,"DF,MF",25-196,6,5,385,1,0,1,0,0.4,0.2,1,15,27,0.23,0.00,0.10,0.04,N/a,N/a,N/a,N/a,25.0,0.23,0.25,15.1,144,82.3,2372,5,10,9,4,15,89.0,82.4,64.3,13,3.03,2,0.47,10,6,15,9,2,2,0,8,231,13,71,91,72,9,7,42.9,42.9,124,183,1,0,0,6,2,144,27,5,3,1,9,14,3,1,75.0
Filip,dk DEN,Chelsea,GK,23-005,6,6,540,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,1.50,71.4,16.7,0.0,N/a,0.00,N/a,N/a,158,83.6,2843,0,1,0,0,0,100.0,97.5,27.5,1,0.17,0,0.00,0,0,0,0,0,0,0,0,202,174,201,1,0,0,0,N/a,N/a,145,423,0,0,0,0,0,139,0,1,1,0,0,5,0,0,N/a
Flynn,eng ENG,Southampton,MF,26-091,22,20,"1,701",1,0,10,0,0.6,0.9,23,56,28,0.05,0.00,0.03,0.05,N/a,N/a,N/a,N/a,30.0,0.16,0.10,18.7,821,90.0,12090,14,50,10,0,56,92.9,92.4,67.4,28,1.48,2,0.11,41,22,31,18,21,5,16,30,1094,74,326,583,194,20,14,35.7,50.0,524,1519,23,20,4,12,17,781,28,44,31,0,3,69,11,12,47.8
Fraser,eng ENG,Tottenham,GK,37-035,7,7,630,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,2.14,69.0,14.3,0.0,N/a,0.00,N/a,N/a,168,84.8,3349,0,1,0,0,0,98.2,95.6,48.9,0,0.00,0,0.00,0,0,1,1,0,0,0,0,228,212,228,0,0,0,1,100.0,0.0,113,264,0,0,0,1,0,94,0,0,0,0,0,1,1,0,100.0
Gabriel,br BRA,Arsenal,"FW,MF",23-307,28,20,"1,866",7,4,1,0,5.8,4.3,104,43,248,0.34,0.19,0.28,0.21,N/a,N/a,N/a,N/a,41.9,0.87,0.16,12.7,412,70.7,5958,33,9,30,13,43,82.7,67.9,52.2,59,2.85,5,0.24,19,14,21,15,10,0,10,3,833,14,80,212,553,157,101,29.7,54.5,554,2215,104,28,52,46,33,631,248,14,18,8,79,67,14,28,33.3
Gabriel,br BRA,Arsenal,DF,27-123,28,28,"2,363",3,1,4,0,2.6,0.9,10,126,11,0.11,0.04,0.10,0.03,N/a,N/a,N/a,N/a,22.7,0.19,0.14,9.5,1480,90.2,25788,13,145,8,0,126,96.9,94.2,53.9,35,1.33,6,0.23,25,15,16,4,42,29,13,16,1873,189,672,985,225,40,5,80.0,20.0,1116,2669,10,22,0,9,2,1366,11,19,19,0,9,63,53,37,58.9
Gabriel,br BRA,Arsenal,FW,28-018,17,6,608,3,0,4,0,3.0,0.7,15,19,57,0.44,0.00,0.44,0.10,N/a,N/a,N/a,N/a,35.0,1.04,0.15,11.1,156,76.8,2030,8,10,9,1,19,80.5,87.2,66.7,18,2.66,4,0.59,10,6,9,5,10,1,9,4,299,9,28,108,165,48,22,40.9,45.5,179,432,15,6,11,13,13,217,57,14,10,9,7,28,9,18,33.3
George,sct SCO,Ipswich Town,FW,26-065,21,3,451,2,1,1,0,1.3,0.3,9,11,25,0.40,0.20,0.26,0.05,N/a,N/a,N/a,N/a,44.4,0.80,0.22,12.0,51,53.1,604,3,1,4,0,11,65.5,45.5,50.0,7,1.39,3,0.60,2,2,3,2,1,1,0,2,147,10,22,52,75,21,4,50.0,25.0,83,198,9,2,6,18,11,127,25,11,9,2,3,8,29,16,64.4
Georginio,fr FRA,Brighton,"MF,FW",23-001,28,19,"1,656",5,3,2,0,4.6,2.5,42,67,79,0.27,0.16,0.25,0.14,N/a,N/a,N/a,N/a,24.0,0.65,0.10,15.5,237,66.8,3344,19,30,16,1,67,77.0,66.7,62.5,64,3.47,8,0.43,39,15,36,22,20,3,17,10,641,20,83,246,326,79,71,38.0,47.9,361,1405,42,36,16,45,37,411,79,34,45,7,9,66,25,46,35.2
Gonçalo,pt POR,Wolves,"MF,FW",28-143,24,7,770,2,4,1,0,2.2,1.1,31,30,58,0.23,0.47,0.25,0.13,N/a,N/a,N/a,N/a,38.9,0.82,0.11,19.9,186,72.7,3117,11,13,16,5,30,84.1,76.0,44.8,23,2.69,8,0.94,14,4,15,12,9,0,9,5,366,4,42,161,176,28,20,25.0,55.0,223,878,31,19,5,33,14,247,58,14,15,3,16,34,3,10,23.1
Guglielmo,it ITA,Tottenham,GK,28-196,20,20,"1,800",0,0,1,0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,1.25,69.9,20.0,N/a,N/a,0.00,N/a,N/a,660,89.8,12698,0,1,0,0,1,99.1,97.4,53.1,3,0.15,0,0.00,0,0,0,0,0,0,0,1,782,522,767,15,0,0,1,100.0,0.0,566,1514,0,0,0,0,0,510,0,0,1,0,0,27,9,0,100.0
Guido,ar ARG,West Ham,MF,31-009,20,14,"1,018",0,0,5,0,0.2,0.1,2,31,5,0.00,0.00,0.02,0.01,N/a,N/a,N/a,N/a,12.5,0.09,0.00,27.8,419,84.1,7149,3,36,1,0,31,87.4,91.4,62.7,10,0.88,0,0.00,30,16,30,16,21,9,12,12,617,42,196,366,56,2,3,66.7,0.0,284,392,2,5,0,2,6,354,5,15,11,1,4,46,8,7,53.3
Hamza,bd BAN,Leicester City,"MF,DF",27-202,4,1,131,0,0,0,0,0.0,0.4,4,3,6,0.00,0.00,0.00,0.27,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,72,85.7,991,2,10,1,1,3,94.0,79.3,50.0,3,2.05,0,0.00,1,1,3,2,4,2,2,5,100,4,19,61,20,3,4,75.0,25.0,63,130,4,2,2,1,0,71,6,1,0,0,5,2,0,0,N/a
Harrison,eng ENG,Fulham,MF,30-084,11,0,93,0,0,2,0,0.2,0.1,1,4,7,0.00,0.00,0.22,0.07,N/a,N/a,N/a,N/a,66.7,1.94,0.00,21.7,39,72.2,550,1,1,1,0,4,87.5,81.3,40.0,1,0.97,0,0.00,6,3,3,2,1,0,1,1,77,2,11,28,39,5,2,0.0,50.0,31,27,1,1,0,2,2,38,7,6,2,0,5,10,1,2,33.3
Harry,eng ENG,Manchester Utd,DF,32-047,22,16,"1,418",1,0,7,0,1.4,0.3,6,42,5,0.06,0.00,0.09,0.02,N/a,N/a,N/a,N/a,36.4,0.25,0.09,8.1,788,86.3,14677,6,39,3,0,42,91.6,91.1,57.8,15,0.95,0,0.00,26,13,17,4,14,12,2,36,1085,133,541,497,60,35,5,40.0,60.0,640,1629,6,6,3,6,2,702,5,16,6,1,2,53,51,21,70.8
Harry,wls WAL,Fulham,"FW,MF",28-030,20,8,851,5,1,2,0,3.2,1.0,16,43,71,0.53,0.11,0.34,0.10,N/a,N/a,N/a,N/a,32.1,0.95,0.18,17.2,252,74.1,4209,17,21,11,0,43,85.5,80.2,40.4,30,3.17,3,0.32,11,7,12,5,13,1,12,5,441,7,60,161,228,44,23,39.1,39.1,266,612,16,17,8,13,4,297,71,10,16,0,30,39,4,16,20.0
Harry,eng ENG,Leicester City,MF,29-078,22,17,"1,538",0,2,4,0,0.2,1.2,19,101,11,0.00,0.12,0.01,0.07,N/a,N/a,N/a,N/a,40.0,0.23,0.00,29.2,910,87.1,14101,17,110,7,5,101,92.2,91.2,57.9,39,2.28,3,0.18,24,11,30,17,19,7,12,9,1158,49,275,746,151,1,12,25.0,66.7,696,1522,19,13,0,13,8,827,11,9,13,0,34,106,8,6,57.1
Harry,eng ENG,Ipswich Town,DF,24-050,7,4,379,0,0,3,1,0.1,0.0,5,14,2,0.00,0.00,0.02,0.01,N/a,N/a,N/a,N/a,100.0,0.24,0.00,4.5,190,80.5,3442,1,21,1,0,14,91.6,87.5,57.5,1,0.24,0,0.00,5,3,6,3,5,4,1,4,268,18,100,122,47,2,2,50.0,50.0,118,222,5,7,0,4,2,163,2,5,1,0,5,17,10,4,71.4
Harry,eng ENG,Manchester Utd,DF,18-036,3,2,166,0,0,0,0,0.0,0.0,5,4,12,0.00,0.00,0.01,0.01,N/a,N/a,N/a,N/a,0.0,0.00,0.00,29.6,77,82.8,906,1,3,0,0,4,91.4,76.0,25.0,5,2.71,0,0.00,4,1,3,2,3,0,3,1,121,7,39,37,46,2,3,66.7,33.3,61,178,5,4,1,6,4,64,12,2,3,1,4,10,5,1,83.3
Harvey,eng ENG,Newcastle Utd,FW,27-133,28,12,"1,337",9,4,0,0,6.2,3.4,68,63,143,0.61,0.27,0.41,0.23,N/a,N/a,N/a,N/a,33.3,1.08,0.19,14.1,363,78.9,5088,19,19,33,8,63,86.6,75.0,64.7,48,3.22,9,0.60,16,9,7,4,7,1,6,6,619,15,82,211,331,91,53,37.7,49.1,430,1852,68,37,38,22,17,489,143,10,18,4,32,44,5,13,27.8
Harvey,eng ENG,Liverpool,"MF,FW",22-017,13,0,184,0,1,0,0,0.5,0.9,7,24,23,0.00,0.49,0.23,0.42,N/a,N/a,N/a,N/a,20.0,0.98,0.00,16.8,142,80.2,2483,5,13,4,0,24,91.7,77.0,66.7,11,5.38,2,0.98,3,2,3,3,3,1,2,1,202,2,19,85,99,13,5,40.0,60.0,120,256,7,7,5,2,4,153,23,0,0,1,10,10,1,1,50.0
Hwang,kr KOR,Wolves,"MF,FW",29-085,19,5,645,2,0,0,0,0.8,0.1,15,12,40,0.28,0.00,0.11,0.02,N/a,N/a,N/a,N/a,60.0,0.42,0.40,17.4,159,81.5,2061,3,7,4,2,12,87.0,85.1,80.0,9,1.25,1,0.14,6,4,6,4,9,0,9,2,260,9,41,98,123,23,13,15.4,84.6,150,426,15,5,7,13,10,172,40,6,8,0,8,27,3,9,25.0
Hákon,is ISL,Brentford,GK,23-190,2,1,145,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,1.24,50.0,100.0,N/a,N/a,0.00,N/a,N/a,46,65.7,1445,0,2,0,0,0,100.0,100.0,41.5,2,1.24,0,0.00,0,0,0,0,0,0,0,0,72,60,71,1,0,0,0,N/a,N/a,44,80,0,0,0,0,0,36,0,0,0,0,0,1,1,0,100.0
Ian,nl NED,Aston Villa,DF,23-042,25,7,887,1,2,2,0,0.7,2.7,26,39,84,0.10,0.20,0.08,0.27,N/a,N/a,N/a,N/a,31.3,0.51,0.06,22.7,507,81.8,8095,18,20,15,3,39,88.5,85.9,53.5,49,4.97,7,0.71,25,13,20,6,10,0,10,15,756,42,200,278,286,40,20,50.0,50.0,404,974,26,15,11,18,20,463,84,9,8,3,47,54,8,5,61.5
Ibrahim,ci CIV,Nott'ham Forest,MF,27-140,8,3,279,0,1,2,0,0.0,0.4,0,12,2,0.00,0.32,0.01,0.11,N/a,N/a,N/a,N/a,100.0,0.32,0.00,32.0,117,78.5,1700,3,9,2,0,12,88.8,80.9,54.5,5,1.61,0,0.00,18,10,10,6,5,0,5,2,193,8,44,123,28,7,1,0.0,100.0,75,83,0,2,0,4,1,101,2,8,5,0,0,22,5,7,41.7
Ibrahima,fr FRA,Liverpool,DF,25-331,27,26,"2,230",1,2,5,0,1.6,1.0,21,102,2,0.04,0.08,0.07,0.04,N/a,N/a,N/a,N/a,17.6,0.12,0.06,10.4,1513,90.5,28014,10,122,8,0,102,93.7,95.1,57.0,28,1.13,7,0.28,36,25,34,10,27,15,12,11,1917,207,818,999,106,21,4,50.0,25.0,1137,3020,21,13,0,8,2,1386,2,24,18,0,0,84,68,28,70.8
Idrissa,sn SEN,Everton,MF,35-207,32,30,"2,615",0,3,8,0,1.0,1.7,23,122,21,0.00,0.10,0.04,0.06,N/a,N/a,N/a,N/a,15.4,0.14,0.00,25.3,1030,86.6,17456,19,126,10,3,122,90.4,90.5,74.6,56,1.93,3,0.10,119,70,82,31,43,9,34,40,1522,66,371,859,300,19,35,48.6,45.7,707,1417,23,24,4,27,33,866,21,48,39,0,6,170,22,15,59.5
Igor,br BRA,Brighton,DF,27-073,12,9,903,0,0,4,0,0.0,0.2,9,44,0,0.00,0.00,0.00,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,14.1,628,92.1,11358,1,35,2,1,44,96.5,95.2,71.4,11,1.10,0,0.00,4,4,10,6,23,14,9,4,764,109,377,353,38,1,4,75.0,25.0,497,1782,9,14,0,1,0,568,0,9,6,0,2,40,8,6,57.1
Iliman,sn SEN,Everton,FW,25-046,28,25,"2,117",7,0,3,0,5.2,1.6,78,44,105,0.30,0.00,0.22,0.07,N/a,N/a,N/a,N/a,41.9,0.55,0.16,17.3,506,80.4,7654,17,34,14,5,44,85.8,85.6,69.4,58,2.47,5,0.21,47,25,44,25,24,4,20,17,941,32,194,387,408,74,132,46.2,47.0,543,2140,78,39,29,48,38,571,105,21,44,5,35,158,5,17,22.7
