First Name,Nation,Team,Position,Age,Matches Played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,xG,xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,xG/90,xAG/90,GA90,Save%,CS%,PK Save%,SoT%,SoT/90,G/Sh,Dist,Cmp,Cmp%,TotDist,KP,1/3,PPA,CrsPA,PrgP,Short Cmp%,Medium Cmp%,Long Cmp%,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att,Lost,Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att (Take-Ons),Succ% (Take-Ons),Tkld% (Take-Ons),Carries,PrgDist,ProgC,1/3 (Carries),CPA,Mis,Dis,Rec,PrgR,Fls,Fld,Off,Crs,Recov,Won (Aerial),Lost (Aerial),Won% (Aerial)
Alex,ng NGA,Fulham,"FW,MF",28-353,33,31,"2,636",9,5,1,0,4.3,6.4,128,185,214,0.31,0.17,0.15,0.22,N/a,N/a,N/a,N/a,45.0,0.92,0.15,18.5,995,74.5,17083,52,100,74,15,185,85.8,77.6,54.3,111,3.79,15,0.51,37,21,28,11,25,1,24,11,1631,31,222,660,774,103,83,50.6,44.6,1159,3894,128,94,37,54,38,1270,214,16,16,4,109,122,5,29,14.7
Alex,eng ENG,Bournemouth,MF,21-243,16,6,612,0,0,2,0,0.7,0.8,12,48,31,0.00,0.00,0.10,0.12,N/a,N/a,N/a,N/a,38.5,0.74,0.00,20.0,233,84.1,3775,9,35,4,0,48,89.3,91.3,61.5,25,3.67,2,0.29,25,12,32,15,14,3,11,9,402,18,71,219,117,16,24,20.8,50.0,219,530,12,6,1,20,8,247,31,9,24,0,3,45,5,6,45.5
Alex,eng ENG,Southampton,GK,35-139,5,5,450,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,2.60,70.3,0.0,0.0,N/a,0.00,N/a,N/a,117,75.0,2823,0,5,0,0,0,95.3,91.8,49.2,0,0.00,0,0.00,0,0,0,0,0,0,0,0,173,141,173,0,0,0,0,N/a,N/a,100,276,0,0,0,0,0,88,0,0,1,0,0,4,2,0,100.0
Alex,eng ENG,Ipswich Town,GK,28-254,9,9,810,0,0,2,0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,2.44,60.7,0.0,N/a,N/a,0.00,N/a,N/a,191,68.7,5649,1,3,0,0,1,95.2,100.0,44.4,2,0.22,0,0.00,0,0,0,0,0,0,0,0,317,268,312,6,0,0,0,N/a,N/a,143,486,0,0,0,1,0,101,0,1,1,0,0,13,3,0,100.0
Alexander,se SWE,Newcastle Utd,FW,25-212,30,30,"2,411",21,6,1,0,17.5,4.0,76,74,192,0.78,0.22,0.66,0.15,N/a,N/a,N/a,N/a,45.1,1.38,0.23,14.4,441,73.6,6305,38,32,23,1,74,82.5,77.4,62.9,83,3.10,14,0.52,12,5,12,7,18,2,16,3,896,19,52,337,521,166,85,49.4,49.4,541,1700,76,40,42,59,50,632,192,24,12,20,15,52,25,47,34.7
Alexis,ar ARG,Liverpool,MF,26-118,32,29,"2,471",4,4,6,0,2.7,4.4,32,169,75,0.15,0.15,0.10,0.16,N/a,N/a,N/a,N/a,34.3,0.44,0.11,18.2,1210,83.4,19378,41,116,34,2,169,89.9,88.4,56.0,115,4.19,14,0.51,88,54,92,43,58,5,53,21,1770,52,265,921,603,56,42,38.1,50.0,869,1887,32,39,3,29,22,1175,75,59,39,2,80,138,18,33,35.3
Ali,iq IRQ,Ipswich Town,FW,23-051,11,0,134,0,0,3,0,0.4,0.1,4,3,14,0.00,0.00,0.24,0.05,N/a,N/a,N/a,N/a,0.0,0.00,0.00,15.7,25,83.3,278,2,0,0,0,3,87.0,71.4,N/a,8,5.37,0,0.00,1,0,2,2,0,0,0,0,53,2,6,20,30,9,7,57.1,42.9,29,111,4,3,4,7,4,36,14,8,3,1,0,4,5,9,35.7
Alisson,br BRA,Liverpool,GK,32-201,23,23,"2,058",0,0,0,0,0.0,0.6,0,0,0,0.00,0.00,0.00,0.03,0.83,72.1,39.1,N/a,N/a,0.00,N/a,N/a,590,82.4,13140,1,10,0,0,0,98.9,98.4,46.8,6,0.26,1,0.04,1,0,1,1,0,0,0,0,758,551,743,15,0,0,1,100.0,0.0,484,1136,0,0,0,1,0,454,0,0,2,0,0,41,6,0,100.0
Alphonse,fr FRA,West Ham,GK,32-053,22,21,"1,900",0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,1.66,62.8,19.0,N/a,N/a,0.00,N/a,N/a,583,70.0,15548,0,7,0,0,0,99.2,95.0,43.1,3,0.14,0,0.00,2,2,3,1,0,0,0,0,883,707,875,9,0,0,0,N/a,N/a,494,1103,0,0,0,0,0,451,0,0,0,0,0,26,2,0,100.0
Amad,ci CIV,Manchester Utd,"FW,MF",22-284,22,17,"1,594",6,6,3,0,4.1,3.9,92,53,159,0.34,0.34,0.23,0.22,N/a,N/a,N/a,N/a,32.5,0.73,0.15,17.7,658,82.9,9051,39,25,29,5,53,90.4,85.3,52.4,80,4.52,16,0.90,33,26,26,11,10,0,10,11,1012,13,150,374,504,109,72,50.0,44.4,656,2294,92,46,52,35,32,714,159,19,23,9,38,93,9,15,37.5
Amadou,be BEL,Aston Villa,MF,23-248,21,16,"1,273",3,0,4,0,1.9,0.3,20,58,13,0.21,0.00,0.14,0.02,N/a,N/a,N/a,N/a,37.5,0.42,0.19,15.2,575,88.7,9034,7,52,8,1,58,94.8,90.0,71.4,23,1.62,4,0.28,45,24,24,10,13,6,7,23,808,54,208,485,128,17,16,62.5,18.8,452,1215,20,19,1,10,8,547,13,29,23,0,1,62,22,17,56.4
Andreas,br BRA,Fulham,MF,29-110,30,22,"1,834",2,4,7,0,3.4,4.3,27,98,77,0.10,0.20,0.17,0.21,N/a,N/a,N/a,N/a,23.5,0.39,0.06,22.1,624,69.0,11362,54,64,19,4,98,83.5,78.1,41.6,96,4.71,8,0.39,22,12,39,29,16,2,14,8,1066,16,153,438,492,38,29,44.8,27.6,547,1254,27,34,8,24,21,633,77,26,22,1,158,97,12,20,37.5
Andrew,sct SCO,Liverpool,DF,31-041,30,26,"2,218",0,0,3,1,0.9,4.1,57,163,90,0.00,0.00,0.04,0.17,N/a,N/a,N/a,N/a,16.7,0.08,0.00,15.0,1405,83.2,23582,38,139,27,15,163,94.4,87.0,46.7,73,2.96,3,0.12,38,22,47,17,9,4,5,20,1877,85,475,856,559,47,18,38.9,55.6,998,2541,57,48,6,24,10,1255,90,10,7,2,131,89,6,12,33.3
